N,t,Q,V,E,T
328,32580.001547467,2.26310857213512,3.7970827,193.7,25.925379
328,32590.0015479419,2.26380320424447,3.7972009,193.7,26.130276
328,32600.0015484169,2.2644978366826,3.7974765,193.8,26.240604
328,32610.0015488919,2.26519247969279,3.7974372,193.8,26.090872
328,32620.0015493669,2.26588711682599,3.7976735,193.8,26.043587
328,32630.0015498418,2.26658175312735,3.7976735,193.8,26.193319
328,32640.0015503168,2.26727637745621,3.7979097,193.8,26.177561
328,32650.0015507918,2.26797101747758,3.7981462,193.8,26.366695
328,32660.0015512668,2.26866565327543,3.7981462,193.8,25.941139
328,32670.0015517417,2.26936029642675,3.7983036,193.8,26.327293
328,32680.0015522167,2.27005493143597,3.7984612,193.8,26.382458
328,32690.0015526917,2.27074957183037,3.7985401,193.8,26.106634
328,32700.0015531667,2.27144421918499,3.7986581,193.8,26.146036
328,32710.0015536416,2.27213886196427,3.798737,193.8,26.209082
328,32720.0015541166,2.27283350471066,3.7990127,193.9,26.122393
328,32730.0015545916,2.27352814097857,3.7991703,193.9,26.177561
328,32740.0015550666,2.27422277929341,3.7991309,193.9,26.216963
328,32750.0015555415,2.27491741602082,3.7994065,193.9,26.201202
328,32760.0015560165,2.27561204876447,3.7994854,193.9,25.964781
328,32770.0015564915,2.27630668063324,3.7996824,193.9,26.287889
328,32780.0015569665,2.27700131278625,3.7997611,193.9,26.240604
328,32790.0015574414,2.27769594118551,3.799958,193.9,26.193319
328,32800.0015579164,2.27839057032953,3.8001156,193.9,25.988422
